frame,tx,ty,tz,qx,qy,qz,qw,yaw,pitch,roll,projection
00000012,0.0,-0.0,-0.0,0.5,-0.5,0.5,0.5,-90.0,90.0,0.0,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
00000024,0.018370537,0.006553406,0.0010907677,0.019091055,0.96770465,0.2512833,0.0045607537,-179.95598412268808,-29.11327534885451,2.248926075919386,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
00000036,0.010863109,0.031554963,-0.018661229,0.011930913,0.9753849,0.220088,0.005640298,179.67036052546723,-25.42627506210443,1.4759413918910147,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
00000048,0.009474046,0.037518162,-0.024032962,0.010510653,0.9769072,0.21331686,0.005107373,179.68508899285035,-24.63159793070505,1.3015766361586836,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
00000060,0.015615063,0.03820058,-0.02992372,0.0045782477,0.97735494,0.2103105,-0.02267836,-177.34875771352864,-24.286786731792304,-0.033795884694652986,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
00000072,0.032954704,0.03991503,-0.05771442,0.014651269,0.97439146,0.21094787,-0.07634476,-171.08508268518463,-24.414328562334152,-0.20955312551670904,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
00000084,0.053181887,0.041891634,-0.06683998,0.022331625,0.9703269,0.20377728,-0.12815043,-165.0594332427004,-23.65329968075024,-0.5093857834613672,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
00000096,0.07147935,0.04069609,-0.08871542,0.03417459,0.9600511,0.2054146,-0.18686828,-158.10646985292257,-24.030023270219925,-0.6389893955938074,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
00000108,0.08758602,0.04536988,-0.122653894,0.048065618,0.94772655,0.20264558,-0.2417175,-151.46690536553714,-24.03858782350467,-0.3930433302273376,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
00000120,0.09154103,0.05982954,-0.14214939,0.046065927,0.95135987,0.17851698,-0.24678957,-150.91964552036558,-21.247998275100482,-0.02645417736901562,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
00000132,0.064656876,0.10405554,-0.16982558,0.03303814,0.96684206,0.12658048,-0.2192789,-154.37934049387565,-15.026457354815108,0.4797126284652855,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
00000144,0.05386005,0.13450506,-0.17910354,0.032725036,0.9785777,0.08831632,-0.18301845,-158.64332216330428,-10.656494279101498,1.817781133374207,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
00000156,0.042885084,0.14338323,-0.1588369,0.032298446,0.9872811,0.07316154,-0.1373635,-163.96475507573072,-8.828753909719973,2.5032373638354275,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
00000168,0.032680027,0.14622198,-0.15032773,0.030524284,0.99027747,0.07181272,-0.11507636,-166.55379003200827,-8.592071505616344,2.5176490207222737,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
00000180,0.022321047,0.15252355,-0.14917764,0.027615175,0.99216974,0.06933884,-0.10004754,-168.31474611815034,-8.235230223466258,2.3453997827079474,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
00000192,0.017753234,0.15331325,-0.1476329,0.024994701,0.99298066,0.07549092,-0.08744383,-169.77241723810812,-8.881760911227303,2.0880958551754096,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
